ip,datetime,method,url,protocol,status,size
105.235.130.196,17/May/2015:11:05:45 +0000,GET,/blog/tags/X11,HTTP/1.1,200,32742
54.255.13.204,17/May/2015:11:05:55 +0000,GET,/reset.css,HTTP/1.1,200,1015
54.255.13.204,17/May/2015:11:05:32 +0000,GET,/style2.css,HTTP/1.1,200,4877
54.255.13.204,17/May/2015:11:05:10 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
105.235.130.196,17/May/2015:11:05:20 +0000,GET,/reset.css,HTTP/1.1,200,1015
54.255.13.204,17/May/2015:11:05:46 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
54.255.13.204,17/May/2015:11:05:17 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
105.235.130.196,17/May/2015:11:05:47 +0000,GET,/style2.css,HTTP/1.1,200,4877
105.235.130.196,17/May/2015:11:05:37 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
105.235.130.196,17/May/2015:11:05:22 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
134.76.249.10,17/May/2015:11:05:01 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
134.76.249.10,17/May/2015:11:05:09 +0000,GET,/reset.css,HTTP/1.1,200,1015
134.76.249.10,17/May/2015:11:05:57 +0000,GET,/style2.css,HTTP/1.1,200,4877
134.76.249.10,17/May/2015:11:05:23 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
134.76.249.10,17/May/2015:11:05:40 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
134.76.249.10,17/May/2015:11:05:50 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
134.76.249.10,17/May/2015:11:05:47 +0000,GET,/projects/xdotool,HTTP/1.1,301,339
134.76.249.10,17/May/2015:11:05:13 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
66.249.73.135,17/May/2015:11:05:26 +0000,GET,/?flav=atom,HTTP/1.1,200,32352
207.241.237.220,17/May/2015:11:05:24 +0000,GET,/blog/tags/C?page=2,HTTP/1.0,200,16311
68.184.202.186,17/May/2015:11:05:28 +0000,GET,/projects/xpathtool/,HTTP/1.1,200,10745
68.184.202.186,17/May/2015:11:05:02 +0000,GET,/reset.css,HTTP/1.1,200,1015
68.184.202.186,17/May/2015:11:05:05 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
68.184.202.186,17/May/2015:11:05:02 +0000,GET,/style2.css,HTTP/1.1,200,4877
68.184.202.186,17/May/2015:11:05:37 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
68.184.202.186,17/May/2015:11:05:58 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
46.105.14.53,17/May/2015:11:05:29 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
66.249.73.135,17/May/2015:11:05:00 +0000,GET,/?flav=rss20,HTTP/1.1,200,29941
24.233.162.179,17/May/2015:11:05:31 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
123.125.71.117,17/May/2015:11:05:16 +0000,GET,/,HTTP/1.1,200,36824
220.181.108.153,17/May/2015:11:05:09 +0000,GET,/,HTTP/1.1,200,36824
65.19.138.34,17/May/2015:11:05:40 +0000,GET,/,HTTP/1.1,200,37932
66.249.73.135,17/May/2015:11:05:32 +0000,GET,/blog/geekery/rhapsody-on-linux.html,HTTP/1.1,200,9109
97.116.185.190,17/May/2015:11:05:59 +0000,GET,/articles/dynamic-dns-with-dhcp/,HTTP/1.1,200,18848
97.116.185.190,17/May/2015:11:05:39 +0000,GET,/reset.css,HTTP/1.1,200,1015
97.116.185.190,17/May/2015:11:05:29 +0000,GET,/style2.css,HTTP/1.1,200,4877
97.116.185.190,17/May/2015:11:05:39 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
97.116.185.190,17/May/2015:11:05:02 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
97.116.185.190,17/May/2015:11:05:35 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
5.255.72.168,17/May/2015:11:05:21 +0000,GET,/,HTTP/1.0,200,37932
5.255.72.168,17/May/2015:11:05:08 +0000,GET,/blog/geekery/installing-windows-8-consumer-preview.html,HTTP/1.0,200,8948
46.105.14.53,17/May/2015:11:05:33 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
5.102.173.71,17/May/2015:11:05:13 +0000,GET,/robots.txt,HTTP/1.1,200,0
5.102.173.71,17/May/2015:11:05:06 +0000,GET,/projects/xdotool/,HTTP/1.1,200,12292
208.91.156.11,17/May/2015:11:05:05 +0000,GET,/files/logstash/logstash-1.3.2-monolithic.jar,HTTP/1.1,404,324
66.249.73.185,17/May/2015:11:05:58 +0000,GET,/presentations/logstash-1/,HTTP/1.1,304,0
74.125.176.81,17/May/2015:11:05:28 +0000,GET,/?flav=rss20,HTTP/1.1,200,29941
66.249.73.135,17/May/2015:11:05:14 +0000,GET,/blog/geekery/xdotool-2.20110530.html,HTTP/1.1,200,11936
187.45.193.158,17/May/2015:11:05:54 +0000,GET,/presentations/logstash-1/file/about-me/tequila-face.jpg,HTTP/1.1,200,196054
90.220.199.149,17/May/2015:11:05:18 +0000,GET,/blog/geekery/puppet-manage-homedirectory-contents.html,HTTP/1.1,200,10001
90.220.199.149,17/May/2015:11:05:24 +0000,GET,/reset.css,HTTP/1.1,200,1015
90.220.199.149,17/May/2015:11:05:50 +0000,GET,/style2.css,HTTP/1.1,200,4877
90.220.199.149,17/May/2015:12:05:37 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
90.220.199.149,17/May/2015:12:05:21 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
90.220.199.149,17/May/2015:12:05:17 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
36.38.8.174,17/May/2015:12:05:24 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
36.38.8.174,17/May/2015:12:05:36 +0000,GET,/reset.css,HTTP/1.1,200,1015
36.38.8.174,17/May/2015:12:05:14 +0000,GET,/style2.css,HTTP/1.1,200,4877
36.38.8.174,17/May/2015:12:05:44 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
36.38.8.174,17/May/2015:12:05:17 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
36.38.8.174,17/May/2015:12:05:39 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
71.207.12.53,17/May/2015:12:05:17 +0000,GET,/favicon.ico,HTTP/1.0,200,3638
220.241.45.142,17/May/2015:12:05:07 +0000,GET,/robots.txt,HTTP/1.0,200,0
220.241.45.142,17/May/2015:12:05:30 +0000,GET,/projects/firefox-tabsearch/,HTTP/1.0,200,9661
209.85.238.199,17/May/2015:12:05:21 +0000,GET,/?flav=atom,HTTP/1.1,200,32352
46.105.14.53,17/May/2015:12:05:53 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
66.249.73.135,17/May/2015:12:05:28 +0000,GET,/blog/tags/noise,HTTP/1.1,200,8985
146.1.1.2,17/May/2015:12:05:51 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
146.1.1.2,17/May/2015:12:05:18 +0000,GET,/style2.css,HTTP/1.1,200,4877
146.1.1.2,17/May/2015:12:05:55 +0000,GET,/reset.css,HTTP/1.1,200,1015
146.1.1.2,17/May/2015:12:05:24 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
146.1.1.2,17/May/2015:12:05:52 +0000,GET,/images/jordan-80.png,HTTP/1.1,200,6146
146.1.1.2,17/May/2015:12:05:25 +0000,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
178.255.215.83,17/May/2015:12:05:47 +0000,GET,/blog/projects/xmlpresenter/main.html,HTTP/1.1,200,11628
212.201.44.247,17/May/2015:12:05:37 +0000,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,200,50112
212.201.44.247,17/May/2015:12:05:49 +0000,GET,/favicon.ico,HTTP/1.1,200,3638
82.193.99.33,17/May/2015:12:05:04 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
82.193.99.33,17/May/2015:12:05:17 +0000,GET,/blog/geekery/ssl-latency.html,HTTP/1.1,200,17147
50.16.19.13,17/May/2015:12:05:58 +0000,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
